,number,price,currency
590,5573,0.09,ETH
591,9679,1.0,WETH
592,4300,0.55,ETH
593,5558,17.99,ETH
594,7241,4.5,ETH
595,6786,10.9,ETH
596,9629,0.35,ETH
597,9595,12.0,ETH
598,5608,9.478,ETH
599,4060,3.6,ETH
600,5350,10.0,ETH
601,7672,2.0,ETH
602,7113,11.5,ETH
603,7146,0.1,ETH
604,8485,0.005,ETH
605,8939,1.8,ETH
606,1011,8.0,ETH
607,2684,17.0,ETH
608,5209,2.0,ETH
609,2312,13.0,ETH
610,6426,3.0,ETH
611,9533,0.15,ETH
612,5673,21.69,ETH
613,9461,12.0,ETH
614,3272,0.02,ETH
615,930,11.99,ETH
616,2195,16.0,ETH
617,3778,0.02,ETH
618,1030,9.55,WETH
619,9732,0.2,ETH
620,752,5.9,ETH
621,3621,1.3,WETH
622,9375,0.15,ETH
623,6382,7.0,ETH
624,225,3.99,ETH
625,6316,18.6225,WETH
626,417,0.06,ETH
627,614,3.69,ETH
628,3782,1.69,ETH
629,779,9.0,ETH
630,3034,0.99,ETH
631,1634,0.02,ETH
632,1501,11.0,ETH
633,375,0.095,ETH
634,5601,0.44,ETH
635,6673,0.2,ETH
636,4159,4.98,ETH
637,556,11.88,ETH
638,4353,2.19,ETH
639,3036,2.5,ETH
640,1814,10.99,ETH
641,1930,2.85,ETH
642,3935,2.5,ETH
643,8951,12.5,ETH
644,5271,12.0,WETH
645,8067,18.3,ETH
646,8361,0.1,ETH
647,1455,11.55,ETH
648,6418,0.15,ETH
649,8233,3.99,ETH
650,3213,2.0,WETH
651,3552,30.0,ETH
652,444,2.4,ETH
653,1896,1.0,WETH
654,8950,0.4,ETH
655,935,0.13,ETH
656,409,5.59,ETH
657,7768,12.0,ETH
658,8551,0.22,ETH
659,7360,17.0,ETH
660,2382,12.888,ETH
661,2983,14.2,ETH
662,6095,2.0,ETH
663,5216,0.69,ETH
664,5648,1.5,ETH
665,6898,9.99,ETH
666,7897,2.3,WETH
667,5934,20.0,WETH
668,6097,2.5,ETH
669,7908,10.99,ETH
670,4072,0.1,ETH
671,7103,1.58,ETH
672,2564,9.3,ETH
673,7690,18.0,ETH
674,362,0.09,ETH
675,3410,1.5,ETH
676,8848,9.5,WETH
677,9792,0.2,WETH
678,8240,6.0,ETH
679,3442,0.005,ETH
680,3575,16.0,ETH
681,1166,0.98,WETH
682,3906,2.0,ETH
683,5893,1.45,ETH
684,6317,12.7,ETH
685,2930,3.5,ETH
686,8077,12.95,ETH
687,1239,3.0,WETH
688,4765,8.69,ETH
689,9088,20.0,WETH
690,5877,8.5,ETH
691,226,9.0,ETH
692,3109,6.0169,WETH
