,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4794,4795,4945,face face,9.1,work blue,5.1,blue cat skin,cool_2,5,unicorn horn,56.6,70.8
4795,4796,1030,angry,3.5,combat black,110.7,blue cat skin,classy_2,9.4,tvhead grey,76.6,200.2
4796,4797,9407,sunglasses heart,3.0,work red,3.4,blue cat skin,cool_2,5,beret green,5.4,11.8
4798,4799,2596,derp,3.5,shirt bowtie,40.4,blue cat skin,classy_1,6.2,halo fire,85.2,135.3
4799,4800,5376,face face,9.1,overalls blue,0,blue cat skin,cool_2,5,helm army,54.8,63.9
4800,4801,2359,mummy,0.7,chain,48.3,blue cat skin,classy_1,6.2,horns,88.4,143.6
4801,4802,1999,happy,6.7,monk,110.7,blue cat skin,classy_1,6.2,cowboy brown,36.9,160.4
4802,4803,8923,pixel,5.6,tanktop white,3.9,blue cat skin,cool_1,1.2,bucket hat tan,3.7,14.3
4803,4804,8304,happy,6.7,robe red,5.1,blue cat skin,cool_1,1.2,headband blue,4.2,17.2
4804,4805,4306,ditto,0,overalls flannel,35.6,blue cat skin,wild_2,4.2,ninja blue,51.4,91.1
4805,4806,3832,beard brown,5.4,tshirt metal,41.1,blue cat skin,wild_1,1.9,hat visor blue,51.4,99.7
4806,4807,9631,beard pirate,0.8,tanktop pink,5.9,blue cat skin,cool_2,5,antlers,3.5,10.2
4807,4808,6577,derp,3.5,winter red,38.9,blue cat skin,cool_2,5,beanie red,7.9,50.3
4808,4809,2622,happy cute,8.9,viking brown,73.7,blue cat skin,wild_2,4.2,cupcake,47.4,134.3
4809,4810,3845,stunned,2.8,baseball red,47.4,blue cat skin,wild_1,1.9,cupcake,47.4,99.6
4810,4811,2336,double face,3.8,knight,87.9,blue cat skin,classy_1,6.2,beret black,46.7,144.6
4811,4812,7974,glossy,9.6,buttondown green,0.2,blue cat skin,cool_1,1.2,beanie red,7.9,18.9
4812,4813,3125,angry cute,2.4,epaulette black,101.6,blue cat skin,wild_1,1.9,flower blue,9.5,115.3
