,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total,price,currency,dollar-price
2446,3231,6136,sunglasses squad,9.1,sweater pink,39.7,blue cat skin,wild_1,1.9,apple,4.0,54.7,7.1625,WETH,21118.416374999997
2447,3233,2509,sunglasses blue,3.2,overalls pink,60.0,blue cat skin,classy_1,6.2,ninja black,69.0,138.4,16.5,ETH,48649.755
2448,3234,7774,sunglasses cool,10.0,overalls blue,0.0,blue cat skin,cool_1,1.2,arrowhead,8.8,20.0,16.5,ETH,48649.755
2449,3236,5018,beard tan,10.2,bandana green,4.4,blue cat skin,cool_2,5.0,bucket hat white,54.8,69.4,12.5,ETH,36855.875
2450,3237,6480,sunglasses pixel,5.8,ninja blue,34.9,blue cat skin,wild_1,1.9,arrowhead,8.8,51.3,0.04,ETH,117.9388
2451,3238,9465,mononoke,4.5,buttondown black flannel,3.0,blue cat skin,cool_2,5.0,apple,4.0,11.5,10.0,ETH,29484.699999999997
2452,3239,141,zombie,1.1,combat black,110.7,blue cat skin,exotic_2,62.4,costume frog,148.5,322.8,12.34,ETH,36384.1198
2453,3240,1654,zombie,1.1,costume hotdog,108.3,blue cat skin,classy_2,9.4,helm army,54.8,173.7,0.005,ETH,14.74235
2454,3241,9168,angry,3.5,bandana red,0.6,blue cat skin,cool_1,1.2,beanie red,7.9,13.2,0.1,ETH,294.847
2455,3243,7369,sunglasses cool,10.0,tanktop white,3.9,blue cat skin,cool_1,1.2,beanie red,7.9,23.0,16.0,ETH,47175.52
2456,3245,3762,sunglasses heart,3.0,baseball blue,38.9,blue cat skin,wild_2,4.2,beanie black,54.8,100.9,10.49,ETH,30929.450299999997
2457,3246,1496,three eyes,1.6,viking brown,73.7,blue cat skin,classy_2,9.4,astro,95.3,180.1,1.4,ETH,4127.857999999999
2458,3247,1464,zombie,1.1,epaulette black,101.6,blue cat skin,classy_2,9.4,knight red,69.0,181.2,0.18,ETH,530.7245999999999
2459,3248,1975,double face,3.8,overalls pink,60.0,blue cat skin,classy_2,9.4,top hat,88.4,161.7,19.0,ETH,56020.92999999999
2460,3251,9045,happy cute,8.9,overalls blue,0.0,blue cat skin,cool_1,1.2,bucket hat tan,3.7,13.8,4.25,ETH,12530.9975
2461,3254,4609,sunglasses pixel,5.8,viking navy,68.4,blue cat skin,wild_2,4.2,candle,5.6,83.9,0.02,ETH,58.9694
2462,3256,4658,angry scar,6.3,buttondown black flannel,3.0,blue cat skin,wild_2,4.2,knight red,69.0,82.5,1.0,ETH,2948.47
2463,3257,9162,double face,3.8,shirt yellow,4.4,blue cat skin,cool_2,5.0,hat visor yellow,5.0,13.2,7.0,ETH,20639.289999999997
2464,3260,5665,uwu,5.0,chain,48.3,blue cat skin,cool_2,5.0,headband red,6.6,60.0,15.0,ETH,44227.049999999996
2465,3261,3851,beard tan,10.2,astro,78.1,blue cat skin,wild_1,1.9,beret red,9.3,99.5,0.9,ETH,2653.623
2466,3262,3152,three eyes,1.6,overalls yellow,60.0,blue cat skin,classy_1,6.2,beret pink,46.7,114.5,0.08,ETH,235.8776
2467,3263,2586,smirk,6.3,astro orange,115.7,blue cat skin,wild_2,4.2,flower blue,9.5,135.7,3.3,ETH,9729.951
2468,3264,6535,wink,7.7,sweater pink,39.7,blue cat skin,cool_2,5.0,antlers,3.5,50.8,0.45,WETH,1326.8115
2469,3265,3357,three eyes,1.6,tanktop sailor black,42.6,blue cat skin,wild_2,4.2,beanie blue,59.4,107.8,0.058,ETH,171.01126
2470,3266,6249,mononoke,4.5,baseball blue,38.9,blue cat skin,wild_1,1.9,flower pink,8.4,53.6,0.1111,ETH,327.575017
2471,3267,9544,three eyes,1.6,overalls blue,0.0,blue cat skin,cool_2,5.0,beret red,9.3,10.9,0.089,ETH,262.41382999999996
2472,3269,9682,pixel,5.6,overalls blue,0.0,blue cat skin,cool_1,1.2,bucket hat green,3.0,9.7,8.28,ETH,24413.331599999998
2473,3270,5343,angry cute,2.4,bandana red,0.6,blue cat skin,cool_2,5.0,hat black,61.4,64.4,12.75,ETH,37592.9925
2474,3271,214,mummy,0.7,costume frog,113.2,blue cat skin,exotic_2,62.4,crown black,118.8,295.0,69.69,ETH,205478.87429999997
2475,3272,872,derp,3.5,knight black,139.5,blue cat skin,classy_1,6.2,sushi,61.4,210.5,0.02,ETH,58.9694
2476,3273,183,sunglasses pixel,5.8,robe king,118.3,blue cat skin,exotic_2,62.4,crown black,118.8,305.3,6.9,WETH,20344.443
2477,3274,2417,ninja blue,4.5,gown purple,86.2,blue cat skin,wild_2,4.2,beret pink,46.7,141.5,8.75,ETH,25799.1125
2478,3275,5364,sunglasses squad,9.1,baseball red,47.4,blue cat skin,wild_1,1.9,candle,5.6,64.0,8.85,ETH,26093.959499999997
2479,3276,6775,zombie,1.1,tanktop sailor red,39.7,blue cat skin,wild_1,1.9,beret green,5.4,48.0,0.435,ETH,1282.5844499999998
2480,3277,9004,glasses funny,4.2,bandana green,4.4,blue cat skin,cool_2,5.0,flower red,5.4,13.9,0.094,ETH,277.15618
2481,3278,7419,sunglasses cool,10.0,tanktop pink,5.9,blue cat skin,cool_1,1.2,flower red,5.4,22.5,7.855,ETH,23160.23185
2482,3279,8050,glossy,9.6,shirt yellow,4.4,blue cat skin,cool_1,1.2,mohawk green,3.3,18.5,7.0,ETH,20639.289999999997
2483,3280,9343,tired,5.9,robe red,5.1,blue cat skin,cool_1,1.2,hat white,5.0,12.2,7.41,ETH,21848.162699999997
2484,3281,2066,mummy,0.7,combat black,110.7,blue cat skin,classy_2,9.4,cowboy brown,36.9,157.7,7.75,ETH,22850.642499999998
2485,3282,7038,mummy,0.7,sweater pink,39.7,blue cat skin,wild_1,1.9,hat white,5.0,42.2,1.5664,ETH,4618.483408
2486,3283,3175,sunglasses cool,10.0,buttondown red flannel,43.4,blue cat skin,wild_1,1.9,mullet blonde,58.5,113.7,8.75,ETH,25799.1125
2487,3284,7584,hearts,4.2,hoodie purple,6.4,blue cat skin,cool_1,1.2,flower blue,9.5,21.2,0.45,ETH,1326.8115
2488,3285,3017,owo,3.5,robe blue,0.4,blue cat skin,wild_1,1.9,helm silver,113.9,119.6,7.77,ETH,22909.611899999996
2489,3286,4026,ditto,0.0,buttondown tan,8.6,blue cat skin,wild_2,4.2,pirate black,83.7,96.4,1.0,ETH,2948.47
2490,3287,6192,derp,3.5,robe white,46.6,blue cat skin,cool_2,5.0,apple,4.0,54.1,0.02,ETH,58.9694
2491,3288,1410,glasses,4.8,combat green,123.9,blue cat skin,classy_1,6.2,afro brown,48.2,183.1,8.5,ETH,25061.995
2492,3290,2592,dizzy,4.8,sweater black,54.8,blue cat skin,wild_1,1.9,ninja red,74.0,135.5,12.0,ETH,35381.64
2493,3292,7763,dizzy,4.8,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,beanie red,7.9,20.1,0.61,ETH,1798.5666999999999
2494,3293,5311,pixel,5.6,shirt yellow,4.4,blue cat skin,cool_2,5.0,helm army,54.8,64.7,13.8,ETH,40688.886
2495,3294,6462,stunned,2.8,shirt bowtie,40.4,blue cat skin,cool_2,5.0,flower pink,8.4,51.6,0.7,WETH,2063.9289999999996
2496,3295,5699,face face,9.1,tshirt pink,3.9,blue cat skin,wild_1,1.9,visor green,44.5,59.4,4.98,ETH,14683.3806
2497,3297,3906,angry,3.5,toga,41.8,blue cat skin,wild_1,1.9,hat visor blue,51.4,98.5,7.49,ETH,22084.0403
2498,3298,5988,pixel,5.6,tanktop sailor blue,41.8,blue cat skin,cool_2,5.0,arrowhead,8.8,56.2,7.94,ETH,23410.8518
2499,3300,786,ditto,0.0,combat black,110.7,blue cat skin,exotic_1,16.0,halo,90.1,216.8,3.0,ETH,8845.41
2500,3301,8780,ninja black,7.5,hoodie purple,6.4,blue cat skin,cool_1,1.2,hat white,5.0,15.1,2.4,ETH,7076.3279999999995
2501,3302,6954,pixel,5.6,overalls flannel,35.6,blue cat skin,cool_2,5.0,apple,4.0,45.2,0.199,ETH,586.74553
2502,3303,6198,zombie,1.1,tshirt yellow,4.4,blue cat skin,wild_1,1.9,beret pink,46.7,54.1,0.025,ETH,73.71175
2503,3304,7543,sunglasses yellow,8.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,beanie red,7.9,21.5,0.025,ETH,73.71175
2504,3305,3769,double face,3.8,bandana green,4.4,blue cat skin,wild_2,4.2,top hat,88.4,100.8,13.5,ETH,39804.344999999994
2505,3307,8241,shocked,7.5,tanktop white,3.9,blue cat skin,cool_1,1.2,hat visor yellow,5.0,17.6,2.0,ETH,5896.94
2506,3308,1950,smirk,6.3,overalls yellow,60.0,blue cat skin,classy_1,6.2,bucket hat blue,90.1,162.6,0.05,ETH,147.4235
2507,3309,3802,sunglasses squad,9.1,shirt bowtie,40.4,blue cat skin,wild_2,4.2,beret pink,46.7,100.4,0.049,ETH,144.47503
2508,3310,7427,happy cute,8.9,shirt yellow,4.4,blue cat skin,cool_1,1.2,beanie red,7.9,22.4,0.64,ETH,1887.0208
2509,3311,8610,derp,3.5,tanktop orange,7.7,blue cat skin,cool_1,1.2,mohawk green,3.3,15.7,9.0,ETH,26536.23
2510,3312,4898,sunglasses squad,9.1,buttondown blue flannel,6.1,blue cat skin,wild_1,1.9,helm army,54.8,71.9,1.6,ETH,4717.552
2511,3313,2573,zombie,1.1,wetsuit,81.2,blue cat skin,classy_1,6.2,cupcake,47.4,136.0,2.15,ETH,6339.210499999999
2512,3314,3544,angry scar,6.3,baseball blue,38.9,blue cat skin,wild_2,4.2,beanie black,54.8,104.2,0.82,ETH,2417.7454
2513,3315,3429,sunglasses yellow,8.5,knight,87.9,blue cat skin,wild_1,1.9,beanie red,7.9,106.2,1.0,ETH,2948.47
